Cycle,Discharge_Capacity(Ah)
1,2.316092014
2,2.331230402
3,2.349842072
4,2.349978447
5,2.361828327
6,2.356217146
7,2.363932133
8,2.369082689
9,2.364971161
10,2.363905907
11,2.659815311
12,2.364419222
13,2.381444931
14,2.366042614
15,2.378706694
16,2.35980916
17,2.365001678
18,2.65362215
19,2.36789155
20,2.362231255
21,2.656295538
22,2.364885807
23,2.365369797
24,2.360678673
25,2.364488125
26,2.649986744
27,2.365087509
28,2.650428295
29,2.366091251
30,2.371589899
31,2.361962795
32,2.356613398
33,2.360136032
34,2.361425638
35,2.354542017
36,2.645969152
37,2.363990545
38,2.363903999
39,2.354526758
40,2.354223728
41,2.642311811
42,2.350059032
43,2.347159147
44,2.351030588
45,2.354115963
46,2.346369743
47,2.638731241
48,2.355755091
49,2.35188365
50,2.35471797
51,2.632237673
52,2.354157448
53,2.636234045
54,2.351190805
55,2.349850178
56,2.347942829
57,2.349214554
58,2.631058931
59,2.353084326
60,2.628905773
61,2.350088358
62,2.627892494
63,2.338079691
64,2.344688177
65,2.622393131
66,2.342406273
67,2.339022398
68,2.617154837
69,2.327121735
70,2.617377281
71,2.330416441
72,2.614249468
73,2.333186388
74,2.32742238
75,2.334947348
76,2.330262184
77,2.336861849
78,2.33698678
79,2.61426878
80,2.335699797
81,2.336546659
82,2.610853434
83,2.33430624
84,2.609479904
85,2.330144405
86,2.325038671
87,2.604988575
88,2.317260027
89,2.320906162
90,2.313943863
91,2.321749449
92,2.599264145
93,2.318713427
94,2.598460436
95,2.311429501
96,2.315840244
97,2.310915947
98,2.312812805
99,2.309972763
100,2.314670801
101,2.59133029
102,2.309046268
103,2.302440405
104,2.300238609
105,2.589729548
106,2.303203821
107,2.30647254
108,2.586204767
109,2.304183483
110,2.303387403
111,2.297906876
112,2.582396269
113,2.293266773
114,2.298103094
115,2.296501398
116,2.292114973
117,2.289865017
118,2.284176588
119,2.572555065
120,2.287072659
121,2.282017231
122,2.281636477
123,2.274747849
124,2.280215025
125,2.562859297
126,2.272858143
127,2.271302462
128,2.558310032
129,2.272492409
130,2.269903898
131,2.273428917
132,2.270469904
133,2.271067142
134,2.263954163
135,2.267071247
136,2.256864309
137,2.259948969
138,2.259967327
139,2.264413595
140,2.259504795
141,2.54714036
142,2.262494564
143,2.544813633
144,2.250357628
145,2.243380785
146,2.527004242
147,2.225685358
148,2.52265048
149,2.21686554
150,2.1973207
151,2.502422333
152,2.180768967
153,2.496135235
154,2.185495615
155,2.18184495
156,2.512567759
157,2.212587357
158,2.204627275
159,2.216337204
160,2.200787306
161,2.216396093
162,2.196175098
163,2.512867689
164,2.210989952
165,2.524200678
166,2.214040041
167,2.237624168
168,2.517727613
169,2.238227606
170,2.233862162
171,2.220573902
172,2.212085247
173,2.202252865
174,2.199736357
175,2.205652237
176,2.208339453
177,2.208874941
178,2.488669634
179,2.195955753
180,2.176380873
181,2.163932085
182,2.142705917
183,2.137735128
184,2.469668388
185,2.121329546
186,2.143420458
187,2.127413988
188,2.131532907
189,2.120051384
190,2.126640797
191,2.124307394
192,2.458701849
193,2.141741037
194,2.141784668
195,2.135057211
196,2.124337912
197,2.45563674
198,2.126679897
199,2.131059408
200,2.124484539
201,2.133508205
202,2.146458387
203,2.129010439
204,2.145061255
205,2.44762373
206,2.144786835
207,2.131172895
208,2.128793001
209,2.12507844
210,2.141812801
211,2.138496161
212,2.118551731
