cycle,discharge_cap
1,2.28611898422241
2,2.29055786132813
3,2.3078670501708998
4,2.3080496788024902
5,2.31881737709045
6,2.31496858596802
7,2.32462048530579
8,2.3269517421722403
9,2.32411909103394
10,2.3219952583312997
11,2.31577205657959
12,2.32166862487793
13,2.3224270343780495
14,2.3224713802337598
15,2.33207845687866
16,2.6467492580413796
17,2.3244199752807595
18,2.31940698623657
19,2.32098364830017
20,2.31833100318909
21,2.32030534744263
22,2.31688189506531
23,2.31978178024292
24,2.64364910125732
25,2.32087635993958
26,2.3119854927062997
27,2.3153862953186004
28,2.31170630455017
29,2.31332802772522
30,2.31923246383667
31,2.3115465641021697
32,2.63846874237061
33,2.32020330429077
34,2.3145544528961204
35,2.63542771339417
36,2.3122763633727996
37,2.3083860874176003
38,2.63507533073425
39,2.3188097476959197
40,2.31463623046875
41,2.30862593650818
42,2.31420087814331
43,2.29742860794067
44,2.3024113178253196
45,2.30524730682373
46,2.62507247924805
47,2.31097888946533
48,2.62732648849487
49,2.30929231643677
50,2.30888748168945
51,2.62539863586426
52,2.30643200874329
53,2.30188798904419
54,2.30465960502625
55,2.6220684051513703
56,2.3034660816192596
57,2.30063056945801
58,2.29900979995728
59,2.2984812259674103
60,2.61624121665955
61,2.29833722114563
62,2.2933394908905
63,2.29698038101196
64,2.29327869415283
65,2.2939698696136497
66,2.29054355621338
67,2.28672170639038
68,2.26657772064209
69,2.28175210952759
70,2.6010115146637003
71,2.27721309661865
72,2.27730274200439
73,2.5959894657135
74,2.2812728881835898
75,2.2711656093597403
76,2.27850770950317
77,2.27385592460632
78,2.59711766242981
79,2.27932500839233
80,2.2775287628173797
81,2.27744460105896
82,2.5936474800109903
83,2.27429938316345
84,2.2708797454833998
85,2.27153778076172
86,2.2658884525299103
87,2.58445572853088
88,2.2629413604736297
89,2.2537462711334197
90,2.58298373222351
91,2.2557351589202903
92,2.26376867294312
93,2.2562997341156
94,2.25452709197998
95,2.2568690776825
96,2.24770951271057
97,2.25243878364563
98,2.2433979511261
99,2.2477924823761
100,2.24607753753662
101,2.5697412490844704
102,2.24442195892334
103,2.24008512496948
104,2.2397098541259797
105,2.23197484016418
106,2.23664259910584
107,2.5612242221832298
108,2.2366695404052703
109,2.5592217445373504
110,2.2352938652038596
111,2.23459911346436
112,2.22874546051025
113,2.2293679714202903
114,2.22563004493713
115,2.22489762306213
116,2.22084379196167
117,2.21779465675354
118,2.21603155136108
119,2.2112562656402597
120,2.5405223369598398
121,2.20938277244568
122,2.2070162296295197
123,2.2041699886322
124,2.53022289276123
125,2.1998100280761697
126,2.5254063606262203
127,2.18744230270386
128,2.1854002475738503
129,2.52043581008911
130,2.17726469039917
131,2.18093490600586
132,2.5158097743987997
133,2.17812728881836
134,2.5115771293640097
135,2.16711258888245
136,2.17057108879089
137,2.15833067893982
138,2.5016634464263903
139,2.16067481040955
140,2.1613531112670903
141,2.15481734275818
142,2.15421056747437
143,2.15356540679932
144,2.14631271362305
145,2.14195895195007
146,2.12976098060608
147,2.118985414505
148,2.11281657218933
149,2.4596223831176802
150,2.10899925231934
151,2.08366441726685
152,2.07577443122864
153,2.43355655670166
154,2.05844807624817
155,2.05487537384033
156,2.05783081054688
157,2.4349946975708
158,2.06576776504517
159,2.06842303276062
160,2.05265283584595
161,2.06195616722107
162,2.05161213874817
163,2.05383467674255
164,2.0528388023376496
165,2.05016112327576
166,2.04576587677002
167,2.4019384384155296
168,2.0410363674163796
169,2.04492735862732
170,2.04199123382568
171,2.3847837448120095
172,2.02881240844727
173,2.01457619667053
174,2.00231599807739
175,2.3542330265045197
176,1.98551607131958
177,1.99291896820068
178,1.98290944099426
179,1.97981071472168
180,1.95479226112366
181,1.9607502222061202
182,2.31210255622864
183,1.92443656921387
184,1.90451407432556
185,1.89401376247406
186,1.89650464057922
187,1.87485527992249
188,2.26905632019043
189,1.86892902851105
190,2.25347089767456
191,1.8509849309921298
192,2.2402241230011
193,1.84583067893982
194,1.84388530254364
195,2.2309999465942405
196,1.8402745723724399
197,1.8289452791213998
198,2.20286750793457
199,1.81675910949707
200,1.80396854877472
201,1.80495584011078
202,1.7919248342514
203,2.17767834663391
204,1.79479444026947
205,1.78456270694733
206,2.16618013381958
207,1.7699533700943
208,1.78179728984833
209,1.7634977102279699
210,1.75731456279755
211,1.74146544933319
212,1.75716829299927
213,2.1183321475982697
214,1.73428022861481
215,1.7084149122238201
