Cycle,Discharge_Capacity(Ah),knn,particle_filter
122,2.20701623,1.7927851740179868,1.7305690824133086
123,2.204169989,2.2264560286301487,2.6517627065357114
124,2.2141699889999997,2.154600863424252,1.8911612747824118
125,2.199810028,2.2134368533917774,2.3196674723198947
126,2.2098100279999997,2.232104989163745,2.033751717289627
127,2.187442303,2.216834691385552,2.2979227458392963
128,2.185400248,2.109785876692166,2.3968243352245913
129,2.195400248,2.4723874975833042,2.2510104487117544
130,2.17726469,1.822802330017643,2.32707442357145
131,2.180934906,2.4110361575746575,2.1603788771758716
132,2.190934906,2.0587138342687066,2.119867326741444
133,2.178127289,2.388259113272035,2.069679602643965
134,2.1881272889999996,2.2019194335836842,2.180302887380613
135,2.1671125890000003,2.308525777416976,2.025384233407899
136,2.170571089,2.544405487758319,2.5413218483207007
137,2.158330679,2.0563524923326026,2.192376945046129
138,2.168330679,2.449119982217948,2.3151585180661174
139,2.16067481,1.9200041534414543,2.0455366482777673
140,2.161353111,2.4022072097480485,2.117036778120267
141,2.154817343,2.44591268165741,1.944194113902966
142,2.154210567,2.024962043200542,2.1265514888123525
143,2.153565407,2.1437269491996016,2.034296720669602
144,2.146312714,1.946167871381939,2.29409592402884
145,2.141958952,2.0684119615094967,2.0966503486620307
146,2.129760981,2.1526769141733615,1.9178620451870612
147,2.118985415,2.054743418206269,2.2182528405033684
148,2.112816572,1.8530990833185836,2.2382540407615057
149,2.1228165719999996,2.0161364501124246,2.1513426897914676
150,2.108999252,1.8957822664624253,2.3034107327054176
151,2.083664417,1.978182358328079,2.128544687013005
152,2.075774431,2.084554882770316,2.202864515383346
153,2.085774431,2.1087936001060292,2.3191166333601583
154,2.058448076,2.1101349477719236,2.028252269946375
155,2.054875374,2.17653278803756,2.2139006566827892
156,2.057830811,1.6328505393690769,1.7768896776560594
157,2.067830811,1.9565353951452236,1.8775156980770837
158,2.065767765,2.344630166787464,2.011782239767631
159,2.068423033,2.3215809323558525,2.1822480436342007
160,2.052652836,1.9860405682484195,1.8681759865504555
161,2.061956167,2.107061957043309,2.0846363143063438
162,2.051612139,2.3375217057016573,2.043759286137907
163,2.0538346769999998,2.068338279040533,2.0349175875594145
164,2.0528388019999997,1.9093991632455003,1.9016028857759406
165,2.050161123,1.8561059474365345,2.1290627118074728
166,2.045765877,2.354109193444062,2.167622541299799
167,2.055765877,2.2932929138507316,2.0534544461171156
168,2.041036367,2.1499696037524956,1.8819924566504143
169,2.044927359,2.31909968203333,1.866613365876532
170,2.041991234,2.162210575292595,2.2146112515147856
171,2.051991234,1.8280389960040355,1.9015874991115376
172,2.0288124080000003,2.3867875403505923,1.7977361857051657
173,2.014576197,2.2821472708202726,1.9663889258331553
174,2.0023159980000003,1.8766232547035886,1.9980884680656865
175,2.012315998,2.036960448680062,1.8731929962251135
176,1.985516071,2.3093873833841747,1.9392613979131719
177,1.9929189680000001,2.159076217533804,1.9331557071178682
178,1.9829094409999999,2.2789067423775347,1.9901960233612932
179,1.979810715,2.064717481913134,2.047209175130536
180,1.954792261,1.9411311230626822,2.12303138607695
181,1.960750222,1.5806182041606494,1.8546052052071962
182,1.970750222,1.9928725651804222,2.154520055228569
183,1.924436569,1.846221689359252,1.797268054649631
184,1.9045140740000002,2.0688383925858793,1.8656221011418508
185,1.894013762,1.628376839388296,2.048742360030909
186,1.896504641,2.091472755217261,1.8171342901338166
187,1.87485528,1.5347197601365015,1.831576548716789
188,1.88485528,1.8411770790211142,1.8252667094445494
189,1.868929029,1.9470662478776781,1.765865441459545
190,1.878929029,1.7084694521062307,2.1856056474403673
191,1.850984931,1.8425469446209572,1.9417828847813077
192,1.860984931,1.942164116012183,1.906807834448918
193,1.845830679,1.7281418968723723,1.9749586896026872
194,1.8438853030000002,1.532360481517701,2.183689938797426
195,1.8538853030000002,2.171291613925938,2.0704800493797797
196,1.8402745719999998,1.8549815070864912,1.5844737768377084
197,1.828945279,1.6777604567869144,1.5693375695411793
198,1.838945279,2.0980382421658144,1.903991220707446
199,1.8167591090000001,1.84466696895071,1.78185646988433
200,1.8039685490000001,1.8363688739504926,1.68501444943302
201,1.80495584,2.2728598287572948,2.148122040055804
202,1.791924834,1.6020344013259296,1.713712862802068
203,1.801924834,1.830930716344934,1.6988014202498951
204,1.79479444,1.675585601269635,1.6659252327759646
205,1.7845627069999999,1.8268572309449091,1.7394511479103583
206,1.7945627069999999,1.8518823255379517,1.79017847077052
207,1.76995337,1.9360603239141454,1.647727602935912
208,1.78179729,1.9382755934366551,1.778238533179854
209,1.76349771,1.6016100275268141,1.9135941256186646
210,1.7573145630000002,1.7575638054288525,1.8058189286317883
211,1.741465449,1.98023158042944,1.7282475089140552
212,1.757168293,1.7292027400784946,1.6410013869279048
213,1.7671682930000001,2.002764268809333,1.7857658907576803
214,1.7342802290000001,1.543358158745072,1.726266694924622
215,1.7084149119999998,1.9628961670190237,1.9542154465931956
